Date,Facebook,CocaCola,GeneralMotors
18/03/2016,111.56,45.60,31.96
21/03/2016,111.85,45.67,32.08
22/03/2016,112.25,45.50,31.90
23/03/2016,112.54,45.46,31.31
24/03/2016,113.05,45.58,30.96
28/03/2016,113.69,45.80,31.02
29/03/2016,116.14,46.48,31.19
30/03/2016,114.70,46.58,30.99
31/03/2016,114.10,46.39,31.43
01/04/2016,116.06,46.83,30.47
04/04/2016,112.55,46.89,29.90
05/04/2016,112.22,46.53,29.60
06/04/2016,113.71,46.71,29.94
07/04/2016,113.64,46.36,29.42
08/04/2016,110.63,46.87,29.37
11/04/2016,108.99,46.44,29.53
12/04/2016,110.61,46.65,29.71
13/04/2016,110.51,46.04,30.78
14/04/2016,110.84,45.83,30.72
15/04/2016,109.64,46.10,30.56
18/04/2016,110.45,46.22,31.31
19/04/2016,112.29,46.60,31.97
20/04/2016,112.42,44.37,32.19
21/04/2016,113.44,43.66,32.66
22/04/2016,110.56,44.54,32.18
25/04/2016,110.10,44.71,31.95
26/04/2016,108.76,44.53,32.19
27/04/2016,108.89,44.68,32.16
28/04/2016,116.73,44.63,32.44
29/04/2016,117.58,44.80,31.80
02/05/2016,118.57,44.98,31.75
03/05/2016,117.43,44.84,31.25
04/05/2016,118.06,44.98,30.59
05/05/2016,117.81,45.06,30.54
06/05/2016,119.49,45.32,30.96
09/05/2016,119.24,45.24,30.78
10/05/2016,120.50,45.75,31.35
11/05/2016,119.52,45.46,31.08
12/05/2016,120.28,45.83,31.18
13/05/2016,119.81,45.35,30.52
16/05/2016,118.67,45.62,30.67
17/05/2016,117.35,44.75,30.63
18/05/2016,117.65,44.48,30.75
19/05/2016,116.81,44.32,30.32
20/05/2016,117.35,43.95,30.57
23/05/2016,115.97,43.97,30.59
24/05/2016,117.70,44.37,31.05
25/05/2016,117.89,44.38,31.65
26/05/2016,119.47,44.69,31.29
27/05/2016,119.38,44.78,31.39
31/05/2016,118.81,44.60,31.28
01/06/2016,118.78,44.70,30.22
02/06/2016,118.93,44.72,30.26
03/06/2016,118.47,45.04,29.60
06/06/2016,118.79,45.37,29.99
07/06/2016,117.76,45.32,30.23
08/06/2016,118.39,45.55,29.57
09/06/2016,118.56,45.76,29.36
10/06/2016,116.62,45.99,29.06
13/06/2016,113.95,45.12,29.08
14/06/2016,114.94,45.04,28.83
15/06/2016,114.60,45.01,28.86
16/06/2016,114.39,45.31,29.02
17/06/2016,113.02,44.79,29.23
20/06/2016,113.37,44.98,29.65
21/06/2016,114.38,45.13,29.51
22/06/2016,113.91,44.86,29.32
23/06/2016,115.08,45.08,29.82
24/06/2016,112.08,43.93,28.35
27/06/2016,108.97,43.78,27.51
28/06/2016,112.70,44.18,27.74
29/06/2016,114.16,44.44,28.17
30/06/2016,114.28,45.33,28.30
01/07/2016,114.19,45.12,28.89
05/07/2016,114.20,45.43,28.17
06/07/2016,116.70,45.27,28.40
07/07/2016,115.85,45.09,28.74
08/07/2016,117.24,45.38,29.66
11/07/2016,117.87,45.57,30.13
12/07/2016,117.93,45.58,30.60
13/07/2016,116.78,45.74,30.63
14/07/2016,117.29,45.69,30.76
15/07/2016,116.86,45.63,30.77
18/07/2016,119.37,45.63,30.87
19/07/2016,120.61,45.63,31.25
20/07/2016,121.92,45.51,31.49
21/07/2016,120.61,45.45,32.03
22/07/2016,121.00,45.83,32.16
25/07/2016,121.63,45.57,32.06
26/07/2016,121.22,44.88,32.15
27/07/2016,123.34,43.40,32.02
28/07/2016,125.00,43.65,30.99
29/07/2016,123.94,43.63,31.54
01/08/2016,124.31,43.45,31.30
02/08/2016,123.09,43.53,29.93
03/08/2016,122.51,43.64,30.24
04/08/2016,124.36,43.51,30.34
05/08/2016,125.15,43.48,30.80
08/08/2016,125.26,43.44,30.88
09/08/2016,125.06,43.47,31.07
10/08/2016,124.88,43.61,31.25
11/08/2016,124.90,43.75,31.75
12/08/2016,124.88,44.03,31.57
15/08/2016,123.90,44.24,31.86
16/08/2016,123.30,43.83,31.71
17/08/2016,124.37,44.06,31.85
18/08/2016,123.91,44.10,31.55
19/08/2016,123.56,43.92,31.83
22/08/2016,124.15,43.74,31.87
23/08/2016,124.37,43.85,31.90
24/08/2016,123.48,43.85,31.78
25/08/2016,123.89,43.67,31.54
26/08/2016,124.96,43.32,31.53
29/08/2016,126.54,43.54,31.81
30/08/2016,125.84,43.24,31.67
31/08/2016,126.12,43.43,31.92
01/09/2016,126.17,43.35,31.80
02/09/2016,126.51,43.66,32.16
06/09/2016,129.73,43.79,32.12
07/09/2016,131.05,43.64,31.89
08/09/2016,130.27,43.63,31.71
09/09/2016,127.10,42.27,30.48
12/09/2016,128.69,43.19,31.18
13/09/2016,127.21,42.28,30.94
14/09/2016,127.77,42.11,30.71
15/09/2016,128.35,42.36,31.12
16/09/2016,129.07,42.14,30.97
19/09/2016,128.65,42.10,31.72
20/09/2016,128.64,42.34,31.65
21/09/2016,129.94,42.53,32.11
22/09/2016,130.08,42.96,32.39
23/09/2016,127.96,42.74,32.12
26/09/2016,127.31,42.05,31.80
27/09/2016,128.69,42.59,31.60
28/09/2016,129.23,42.15,31.90
29/09/2016,128.09,42.03,31.48
30/09/2016,128.27,42.32,31.77
03/10/2016,128.77,42.03,32.04
04/10/2016,128.19,41.84,32.17
05/10/2016,128.47,41.81,32.68
06/10/2016,128.74,41.71,32.53
07/10/2016,128.99,41.73,32.34
10/10/2016,130.24,41.73,32.15
11/10/2016,128.88,41.54,31.89
12/10/2016,129.05,41.78,31.68
13/10/2016,127.82,41.76,31.51
14/10/2016,127.88,41.67,31.87
17/10/2016,127.54,41.60,31.56
18/10/2016,128.57,41.97,31.40
19/10/2016,130.11,42.05,31.85
20/10/2016,130.00,41.93,31.75
21/10/2016,132.07,42.13,32.04
24/10/2016,133.28,42.56,32.98
25/10/2016,132.29,42.54,31.60
26/10/2016,131.04,42.44,31.58
27/10/2016,129.69,42.12,31.33
28/10/2016,131.29,42.23,31.32
31/10/2016,130.99,42.40,31.60
01/11/2016,129.50,42.12,31.48
02/11/2016,127.17,42.05,31.45
03/11/2016,120.00,42.03,31.07
04/11/2016,120.75,41.69,31.16
07/11/2016,122.15,42.46,32.02
08/11/2016,124.22,42.88,31.73
09/11/2016,123.18,42.27,30.96
10/11/2016,120.80,40.94,32.73
11/11/2016,119.02,41.03,34.02
14/11/2016,115.08,41.17,33.28
15/11/2016,117.20,41.44,33.43
16/11/2016,116.34,41.26,33.23
17/11/2016,117.79,41.12,33.42
18/11/2016,117.02,40.91,33.00
21/11/2016,121.77,41.36,33.01
22/11/2016,121.47,41.37,33.81
23/11/2016,120.84,41.12,33.86
25/11/2016,120.38,41.53,34.25
28/11/2016,120.41,41.75,34.05
29/11/2016,120.87,41.15,34.57
30/11/2016,118.42,40.35,34.53
01/12/2016,115.10,40.17,36.43
02/12/2016,115.40,40.36,35.41
05/12/2016,117.43,40.62,34.94
06/12/2016,117.31,40.57,35.07
07/12/2016,117.95,41.29,36.30
08/12/2016,118.91,40.98,36.42
09/12/2016,119.68,42.00,37.66
12/12/2016,117.77,41.90,37.10
13/12/2016,120.31,41.76,37.36
14/12/2016,120.21,41.21,35.95
15/12/2016,120.57,41.55,36.24
16/12/2016,119.87,41.74,36.37
19/12/2016,119.24,41.67,36.40
20/12/2016,119.09,41.66,36.61
21/12/2016,119.04,41.57,36.42
22/12/2016,117.40,41.55,35.69
23/12/2016,117.27,41.60,35.69
27/12/2016,118.01,41.61,35.54
28/12/2016,116.92,41.39,35.15
29/12/2016,116.35,41.60,35.14
30/12/2016,115.05,41.46,34.84
03/01/2017,116.86,41.80,35.15
